date,ticket_no.,receiver_department,item,measurement,description,quantity,unit_cost,total_cost,week_code
2024-01-15,112,Sourcing,Diesel,Litres,Dyna2,30.0,0,1,Jan wk 3 - 24
2024-01-16,113,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 3 - 24
2024-01-16,113,Production,Spares,Pieces,Cutting Disc,1.0,1500,1,Jan wk 3 - 24
2024-01-16,114,Production,Spares,Pieces,Elevator belt,20.9,271700,1,Jan wk 3 - 24
2024-01-16,115,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 3 - 24
2024-01-16,116,Production,Spares,Pieces,Iron rod Y10,10.0,45000,1,Jan wk 3 - 24
2024-01-16,117,Sourcing,Diesel,Litres,MBI,10.0,0,1,Jan wk 3 - 24
2024-01-16,118,Sourcing,Diesel,Litres,Dyna2,25.0,0,1,Jan wk 3 - 24
2024-01-17,119,Sourcing,Diesel,Litres,Dyna2,25.0,0,1,Jan wk 3 - 24
2024-01-17,120,Production,Spares,Litres,hydraulic oil,8.0,13760,1,Jan wk 3 - 24
2024-01-17,121,Production,Spares,Pieces,22 washers,40.0,2000,1,Jan wk 3 - 24
2024-01-17,122,Production,Spares,Pieces,19 Bolt & nut,10.0,3000,1,Jan wk 3 - 24
2024-01-17,123,Production,Spares,Pieces,19 Washers,20.0,1000,1,Jan wk 3 - 24
2024-01-17,124,Production,Spares,Pieces,24 Bolts & Nut,10.0,5000,1,Jan wk 3 - 24
2024-01-17,125,Production,Spares,Pieces,24 Washers,15.0,750,1,Jan wk 3 - 24
2024-01-17,126,Production,Spares,Pieces,Damper rubbers,2.0,6000,1,Jan wk 3 - 24
2024-01-18,126,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 3 - 24
2024-01-18,127,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 3 - 24
2024-01-18,128,Production,Diesel,Litres,Issued to production,300.0,0,1,Jan wk 3 - 24
2024-01-18,129,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 3 - 24
2024-01-18,130,Production,Spares,Pieces,U-Bolt22,1.0,1800,1,Jan wk 3 - 24
2024-01-19,131,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 3 - 24
2024-01-19,131,Production,Spares,Pieces,19 Bolts & nuts,15.0,4500,1,Jan wk 3 - 24
2024-01-19,132,Production,Spares,Pieces,19 Washers,40.0,2000,1,Jan wk 3 - 24
2024-01-19,133,Production,Spares,Pieces,middle shafts,6.0,0,1,Jan wk 3 - 24
2024-01-19,134,Production,Spares,Pieces,Hanger Bearing,6.0,126000,1,Jan wk 3 - 24
2024-01-19,135,Production,Spares,Pieces,U-Bolt22,6.0,10800,1,Jan wk 3 - 24
2024-01-19,136,Production,Spares,Pieces,F210 bearing,1.0,15000,0,Jan wk 3 - 24
2024-01-19,137,Production,Spares,Pieces,13 Bolt & nuts,60.0,12000,1,Jan wk 3 - 24
2024-01-19,138,Production,Spares,Pieces,13 Washers,120.0,6000,1,Jan wk 3 - 24
2024-01-19,139,Sourcing,Diesel,Litres,Dyna2,25.0,0,1,Jan wk 3 - 24
2024-01-20,140,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 3 - 24
2024-01-20,141,Production,Spares,Pieces,13Bolt & nuts,24.0,2600,1,Jan wk 3 - 24
2024-01-20,142,Production,Spares,Pieces,19 Bolt & nuts,25.0,7500,1,Jan wk 3 - 24
2024-01-20,143,Production,Spares,Pieces,13 Washers,48.0,2400,1,Jan wk 3 - 24
2024-01-20,144,Production,Spares,Pieces,Ending shafts,1.0,0,1,Jan wk 3 - 24
2024-01-20,145,Production,Spares,Pieces,F210 bearing,1.0,15000,1,Jan wk 3 - 24
2024-01-20,146,Production,Spares,Pieces,Cutting Disc,2.0,3000,1,Jan wk 3 - 24
2024-01-20,147,Production,Spares,Pieces,middle shafts,1.0,0,1,Jan wk 3 - 24
2024-01-20,148,Production,Spares,Pieces,Welding handle,1.0,4500,1,Jan wk 3 - 24
2024-01-20,149,Production,Spares,Pieces,17 Bolt & Nuts,3.0,900,1,Jan wk 3 - 24
2024-01-20,150,Production,Spares,Pieces,17 Washers,6.0,300,1,Jan wk 3 - 24
2024-01-22,151,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 4 - 24
2024-01-22,151,Production,Spares,Pieces,U-Bolt22,2.0,9600,1,Jan wk 4 - 24
2024-01-22,152,Production,Spares,Pieces,Hanger Bearing,2.0,42000,1,Jan wk 4 - 24
2024-01-22,153,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 4 - 24
2024-01-22,154,Production,Spares,Pieces,24 Washers,10.0,500,1,Jan wk 4 - 24
2024-01-22,155,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 4 - 24
2024-01-23,155,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 4 - 24
2024-01-23,156,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 4 - 24
2024-01-23,157,Sourcing,Diesel,Litres,Dyna2,25.0,0,1,Jan wk 4 - 24
2024-01-23,158,Sourcing,Diesel,Litres,Mb1,40.0,0,1,Jan wk 4 - 24
2024-01-23,159,Production,Spares,Pieces,Cutting Disc,2.0,3000,1,Jan wk 4 - 24
2024-01-23,200,Production,Spares,Pieces,13-18A manuel starter,2.0,18000,1,Jan wk 4 - 24
2024-01-23,201,Production,Spares,Pieces,3/4 rods,2.0,20000,1,Jan wk 4 - 24
2024-01-23,202,Production,Spares,Pieces,3/4 Nuts,3.0,6400,1,Jan wk 4 - 24
2024-01-24,203,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 4 - 24
2024-01-24,204,Production,Diesel,Litres,Issued to production for the day(rented),90.0,0,1,Jan wk 4 - 24
2024-01-24,205,Sourcing,Diesel,Litres,Dyna3,10.0,0,1,Jan wk 4 - 24
2024-01-24,206,Production,Spares,Pieces,Cutting Disc,3.0,4500,1,Jan wk 4 - 24
2024-01-24,207,Production,Spares,Pieces,Electrical tape,2.0,500,1,Jan wk 4 - 24
2024-01-24,208,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 4 - 24
2024-01-24,209,Production,CaC03,bags,Issued to production for the day,15.0,0,1,Jan wk 4 - 24
2024-01-25,210,Production,Diesel,Litres,Issued to production (rented 100kav),150.0,0,1,Jan wk 4 - 24
2024-01-25,211,Production,Diesel,Litres,Issued to production,300.0,0,1,Jan wk 4 - 24
2024-01-25,212,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 4 - 24
2024-01-25,213,Production,Spares,Pieces,hydraulic oil,9.0,15480,1,Jan wk 4 - 24
2024-01-25,214,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 4 - 24
2024-01-25,215,Production,CaC03,bags,Issued to production for the day,8.0,0,1,Jan wk 4 - 24
2024-01-26,216,Production,Spares,Pieces,Iron chalk,1.0,250,1,Jan wk 4 - 24
2024-01-26,217,Production,Spares,Pieces,Welding handle,1.0,4500,1,Jan wk 4 - 24
2024-01-26,218,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 4 - 24
2024-01-26,219,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 4 - 24
2024-01-26,220,Production,Diesel,Litres,Dyna2,30.0,0,1,Jan wk 4 - 24
2024-01-26,221,Production,Diesel,Litres,Issued to production for the day,150.0,0,1,Jan wk 4 - 24
2024-01-26,223,Production,CaC03,bags,Issued to production for the day,12.0,0,1,Jan wk 4 - 24
2024-01-27,224,Production,Diesel,Litres,Issued to production for the day,120.0,0,1,Jan wk 4 - 24
2024-01-27,225,Sourcing,Diesel,Litres,Dyna2,10.0,0,1,Jan wk 4 - 24
2024-01-27,226,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 4 - 24
2024-01-27,227,Production,Spares,Pieces,13 Bolt & nut,7.0,1400,1,Jan wk 4 - 24
2024-01-27,228,Production,Spares,Pieces,13 washers,14.0,700,1,Jan wk 4 - 24
2024-01-27,229,Production,CaC03,bags,Issued to production for the day,14.0,0,1,Jan wk 4 - 24
2024-01-29,229,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 5 - 24
2024-01-29,230,Production,CaC03,bags,Issued to production for the day,14.0,0,1,Jan wk 5 - 24
2024-01-29,230,Sourcing,Diesel,Litres,Dyna2,25.0,0,1,Jan wk 5 - 24
2024-01-29,231,Sourcing,fuel,Litres,Bikes,5.0,0,1,Jan wk 5 - 24
2024-01-29,231,Payloader,Spares,Pieces,Payloader,12.0,21600,1,Jan wk 5 - 24
2024-01-29,232,Production,Spares,Pieces,Gear oil,1.0,1875,1,Jan wk 5 - 24
2024-01-29,233,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,1,Jan wk 5 - 24
2024-01-29,234,Production,Spares,Pieces,Baskets,4.0,5200,1,Jan wk 5 - 24
2024-01-29,235,Production,Spares,Pieces,Hand towels,3.0,2500,1,Jan wk 5 - 24
2024-01-29,236,Production,Spares,Pieces,Condom gloves,1.0,2000,1,Jan wk 5 - 24
2024-01-30,238,Sourcing,Diesel,Litres,Dyna2,25.0,0,1,Jan wk 5 - 24
2024-01-30,239,Payloader,Diesel,Litres,Payloader,30.0,0,1,Jan wk 5 - 24
2024-01-30,240,Production,CaC03,bags,Issued to production for the day,14.0,0,1,Jan wk 5 - 24
2024-01-30,241,Production,Spares,Pieces,Damper rubbers,1.0,3000,1,Jan wk 5 - 24
2024-01-30,241,Enforcement,Fuel,Litres,Bikes,10.0,0,1,Jan wk 5 - 24
2024-01-31,242,Sourcing,Fuel,Litres,Bikes,5.0,0,1,Jan wk 5 - 24
2024-01-31,242,Production,Spares,Pieces,Electrical tape,2.0,500,1,Jan wk 5 - 24
2024-01-31,243,Production,Spares,Pieces,B82 Belt,1.0,2200,1,Jan wk 5 - 24
2024-01-31,244,Production,Spares,Pieces,Nipple,2.0,1000,1,Jan wk 5 - 24
2024-01-31,245,Production,Spares,Pieces,Pvc bushy,2.0,8000,1,Jan wk 5 - 24
2024-01-31,246,Production,Spares,Pieces,Damper rubbers,1.0,2200,1,Jan wk 5 - 24
2024-01-31,247,Production,Spares,Pieces,24 bolt & nuts,2.0,1000,1,Jan wk 5 - 24
2024-01-31,248,Production,Spares,Pieces,24 Washers,4.0,200,1,Jan wk 5 - 24
2024-01-31,249,Production,Spares,Pieces,Motor tyre,2.0,175000,1,Jan wk 5 - 24
2024-01-31,250,Production,Diesel,Litres,Issued to production for the day,300.0,0,1,Jan wk 5 - 24
2024-01-31,251,Enforcement,PP2,tonnes,Lordtech,28.57,0,0,Jan wk 5 - 24
2024-02-01,251,Sourcing,Fuel,Litres,Ford2,40.0,0,0,Jan wk 5 - 24
2024-02-01,251,Sourcing,Fuel,Litres,Bikes,12.0,0,2,Jan wk 5 - 24
2024-02-02,252,Sourcing,Fuel,Litres,Bikes,5.0,0,2,Jan wk 5 - 24
2024-02-02,250,Production,Spares,Pieces,Cutting Disc,1.0,1500,2,Jan wk 5 - 24
2024-02-02,251,Production,Spares,Pieces,Pvc tape,1.0,500,2,Jan wk 5 - 24
2024-02-02,252,Production,Spares,Pieces,Iron chalk,2.0,500,2,Jan wk 5 - 24
2024-02-02,253,Production,Spares,Pieces,B61-belt,3.0,5400,2,Jan wk 5 - 24
2024-02-02,254,Sourcing,Diesel,Litres,dyna2,30.0,0,2,Jan wk 5 - 24
2024-02-02,255,Production,Diesel,Litres,Payloader,30.0,0,2,Jan wk 5 - 24
2024-02-03,254,Production,Spares,Pieces,F208 bearings,1.0,10000,2,Jan wk 5 - 24
2024-02-03,255,Sourcing,Diesel,Litres,dyna2,25.0,0,2,Jan wk 5 - 24
2024-02-03,256,Sourcing,Diesel,Litres,Mb1,20.0,0,2,Jan wk 5 - 24
2024-02-03,257,Sourcing,Fuel,Litres,Bikes,10.0,0,2,Jan wk 5 - 24
2024-02-05,258,Sourcing,Fuel,Litres,Bikes,2.0,0,2,Feb wk 1 - 24
2024-02-05,257,Sourcing,Diesel,Litres,dyna2,30.0,0,2,Feb wk 1 - 24
2024-02-05,258,Production,Spares,Pieces,Penitrating oil,1.0,0,2,Feb wk 1 - 24
2024-02-05,259,Production,Spares,Pieces,17 bolt & nuts,5.0,1500,2,Feb wk 1 - 24
2024-02-05,260,Production,Spares,Pieces,17 washers,10.0,500,2,Feb wk 1 - 24
2024-02-05,261,Production,Spares,Pieces,13 bolt & nuts,5.0,500,2,Feb wk 1 - 24
2024-02-05,262,Production,Spares,Pieces,13 washers,10.0,500,2,Feb wk 1 - 24
2024-02-06,263,Sourcing,Fuel,Litres,Bikes,9.0,0,2,Feb wk 1 - 24
2024-02-06,263,Production,Diesel,Litres,Issued to production for the day,600.0,0,2,Feb wk 1 - 24
2024-02-06,264,Payloader,Diesel,Litres,Payloader,30.0,0,2,Feb wk 1 - 24
2024-02-06,265,Sourcing,Diesel,Litres,dyna2,30.0,0,2,Feb wk 1 - 24
2024-02-06,265,Sourcing,Diesel,Litres,Dyna3,20.0,0,2,Feb wk 1 - 24
2024-02-06,266,Production,Spares,Pieces,Motor battery,1.0,0,2,Feb wk 1 - 24
2024-02-06,267,Production,Spares,Pieces,hydraulic oil,4.0,18000,2,Feb wk 1 - 24
2024-02-07,268,Sourcing,Fuel,Litres,Bikes,8.0,0,2,Feb wk 1 - 24
2024-02-07,268,Production,Spares,Pieces,Gear oil,1.0,1875,2,Feb wk 1 - 24
2024-02-07,269,Production,Spares,Pieces,Cutting Disc,1.0,1500,2,Feb wk 1 - 24
2024-02-07,270,Production,Spares,Pieces,Mild steel electrodes,140.0,4620,2,Feb wk 1 - 24
2024-02-07,271,Production,Diesel,Litres,Sourcing mb1,20.0,0,2,Feb wk 1 - 24
2024-02-07,272,Enforcement,PKS,tonnes,Issued to enforcement for the day,20.5,0,2,Feb wk 1 - 24
2024-02-08,273,Sourcing,Fuel,Litres,Bikes,5.0,0,2,Feb wk 1 - 24
2024-02-08,273,Enforcement,PKS,tonnes,Issued to enforcement for the day,17.3,0,2,Feb wk 1 - 24
2024-02-08,274,Sourcing,Diesel,Litres,dyna2,30.0,0,2,Feb wk 1 - 24
2024-02-08,274,Sourcing,Diesel,Litres,Dyna3,25.0,0,2,Feb wk 1 - 24
2024-02-08,274,Sourcing,Diesel,Litres,mb1,20.0,0,2,Feb wk 1 - 24
2024-02-08,275,Payloader,Diesel,Litres,payloader,30.0,0,2,Feb wk 1 - 24
2024-02-09,276,Sourcing,Fuel,Litres,Bikes,8.0,0,2,Feb wk 1 - 24
2024-02-09,276,Payloader,Diesel,Litres,payloader,60.0,0,2,Feb wk 1 - 24
2024-02-10,277,Sourcing,Fuel,Litres,Bikes,11.0,0,2,Feb wk 1 - 24
2024-02-10,277,Enforcement,PKS,tonnes,Issued to enforcement for the day,308.07,0,2,Feb wk 1 - 24
